number,study,Es_id,Type,site,Eutrophication,TN_mg_L,TP_mg_L,TN_TP,Chl.a_ug_L,TN_r1,TN_r2,TP_r1,TP_r2,TN_TP_r,Chl.a_r,T_C,SD_cm,DO,Data_Ioc,lnR
12,LI1,1,Lake,Lake Hongze,Eutro,1.64815,0.125527,13.13,25.7675,0.75,1.4,0.025,0.05,16,7,27.65,20.09,NA,F2 and F3,2.025597433
13,LI1,1,Lake,Lake Hongze,Eutro,1.64815,0.127014,12.98,14.5833,0.75,1.4,0.025,0.05,16,7,27.55,30.47,NA,F2 and F3,1.456360464
14,LI1,1,Lake,Lake Hongze,Eutro,1.5,0.124091,12.09,8.77193,0.75,1.4,0.025,0.05,16,7,27.44,35.46,NA,F2 and F3,0.948040276
15,LI1,1,Lake,Lake Hongze,Eutro,1.98148,0.115214,17.2,28.9474,0.75,1.4,0.025,0.05,16,7,27.25,28.45,NA,F2 and F3,2.141963815
16,LI1,1,Lake,Lake Hongze,Eutro,3.37037,0.134599,25.04,15.1316,0.75,1.4,0.025,0.05,16,7,27.64,30.47,NA,F2 and F3,1.493268698
17,LI1,1,Lake,Lake Hongze,Eutro,1.38889,0.211978,6.55,12.6096,0.75,1.4,0.025,0.05,16,7,27.43,32.49,NA,F2 and F3,1.310941854
18,LI1,1,Lake,Lake Hongze,Oligo-meso,1.40741,0.106444,13.22,4.38596,0.75,1.4,0.025,0.05,16,7,27.85,32.49,NA,F2 and F3,0.254891955
19,LI1,1,Lake,Lake Hongze,Eutro,1.37037,0.107973,12.69,7.01754,0.75,1.4,0.025,0.05,16,7,27.64,40.72,NA,F2 and F3,0.724896155
20,LI1,1,Lake,Lake Hongze,Eutro,1.42593,0.118435,12.04,14.8026,0.75,1.4,0.025,0.05,16,7,27.64,30.61,NA,F2 and F3,1.471286266
21,LI1,1,Lake,Lake Hongze,Eutro,1.16667,0.130388,8.95,9.32018,0.75,1.4,0.025,0.05,16,7,27.22,25.48,NA,F2 and F3,1.008665367
22,LI1,1,Lake,Lake Hongze,Eutro,1.24074,0.120028,10.34,11.0746,0.75,1.4,0.025,0.05,16,7,27.54,30.34,NA,F2 and F3,1.181137623
23,LI1,1,Lake,Lake Hongze,Eutro,1.03704,0.109656,9.46,25.2193,0.75,1.4,0.025,0.05,16,7,27.33,22.25,NA,F2 and F3,2.004093
24,LI1,1,Lake,Lake Hongze,Oligo-meso,1.31481,0.0963219,13.65,6.0307,0.75,1.4,0.025,0.05,16,7,26.92,40.72,NA,F2 and F3,0.573346516
25,LI1,1,Lake,Lake Hongze,Eutro,1.24074,0.123147,10.08,11.6228,0.75,1.4,0.025,0.05,16,7,27.43,24.4,NA,F2 and F3,1.229452112
26,LI1,1,Lake,Lake Hongze,Oligo-meso,1.53704,0.112788,13.63,3.83772,0.75,1.4,0.025,0.05,16,7,27.23,26.29,NA,F2 and F3,0.121361866
27,LI1,1,Lake,Lake Hongze,Eutro,1.40741,0.111343,12.64,13.0482,0.75,1.4,0.025,0.05,16,7,27.72,28.45,NA,F2 and F3,1.345133619
28,LI1,1,Lake,Lake Hongze,Eutro,1.12963,0.139656,8.09,10.307,0.75,1.4,0.025,0.05,16,7,27.63,30.47,NA,F2 and F3,1.109306701
29,LI1,1,Lake,Lake Hongze,Eutro,1.40741,0.0950896,14.8,16.3377,0.75,1.4,0.025,0.05,16,7,27.51,30.61,NA,F2 and F3,1.569958746
30,LI1,1,Lake,Lake Hongze,Oligo-meso,1.33333,0.0906746,14.7,5.48246,0.75,1.4,0.025,0.05,16,7,27.41,26.43,NA,F2 and F3,0.478037331
31,Pang2,2,Lake,Lake Kuncheng,Hyper,3.08,0.168,18.33,30.1,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T1,0.040683577
32,Pang2,2,Lake,Lake Kuncheng,Hyper,3.39,0.192,17.66,37.9,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T1,0.271109517
33,Pang2,2,Lake,Lake Kuncheng,Eutro,3.04,0.148,20.54,29.7,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T1,0.027305451
34,Pang2,2,Lake,Lake Kuncheng,Hyper,2.87,0.132,21.74,40.2,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T1,0.330025401
35,Pang2,2,Lake,Lake Kuncheng,Hyper,2.87,0.136,21.1,35,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T1,0.191506466
36,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.23182,0.00683761,180.15,1.26923,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F8",0.325528346
37,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.14282,0.0136752,83.57,1.32692,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F9",0.369978395
38,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.12154,0.0119658,93.73,0.980769,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F10",0.067699607
39,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.12603,0.0102564,109.79,1.38462,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F11",0.412543662
40,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,0.985156,0.00854701,115.26,1.32692,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F12",0.369978395
41,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.0575,0.0102564,103.11,1.61538,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F13",0.566688151
42,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.00215,0.00854701,117.25,1.61538,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F14",0.566688151
43,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,0.989235,0.00854701,115.74,19.1538,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F15",3.039619057
44,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,1.01024,0.00854701,118.2,16.5,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F16",2.890478309
45,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,1.09958,0.0136752,80.41,16.5,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F17",2.890478309
46,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,1.12882,0.0102564,110.06,10.9615,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F18",2.481507062
47,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,1.03975,0.0102564,101.38,13.5577,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F19",2.69407258
48,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,1.22553,0.0118129,103.75,13.6154,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F20",2.698319433
49,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,1.26809,0.00658497,192.57,13.6154,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F21",2.698319433
50,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.25106,0.00982339,127.36,1.44231,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F22",0.453363923
51,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.40426,0.0113101,124.16,1.15385,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F23",0.230222105
52,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.25106,0.0111507,112.2,1.55769,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F24",0.530321883
53,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.32766,0.00928816,142.94,1.67308,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F25",0.601784167
54,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.16596,0.0107965,107.99,1.67308,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F26",0.601784167
55,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,2.64681,0.0140296,188.66,1.90385,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F27",0.73099608
56,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.48936,0.0223229,66.72,1.26923,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F28",0.325528346
57,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.29362,0.0170274,75.97,1.61538,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F29",0.566688151
58,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.29362,0.020282,63.78,1.55769,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F30",0.530321883
59,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.3617,0.00990989,137.41,1.09615,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F31",0.178921969
60,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.10465,0.0136111,81.16,1.0364,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F32",0.122871098
61,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.16252,0.0151026,76.97,0.939847,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F33",0.025079745
62,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.07577,0.0182841,58.84,1.0159,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F34",0.102892847
63,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.0912,0.0078438,139.12,1.20709,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F35",0.275330432
64,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.03826,0.00759101,136.77,1.11398,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F36",0.195057116
65,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.07058,0.00735988,145.46,1.42088,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F37",0.438394326
66,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,0.992494,0.00544227,182.37,1.7841,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F38",0.666032015
67,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,0.99068,0.0120185,82.43,16.517,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F39",2.891508082
68,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,1.00597,0.011791,85.32,13.778,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F40",2.710191045
69,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,1.08075,0.0166735,64.82,13.7977,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F41",2.71161984
70,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,1.14682,0.00960974,119.34,13.7609,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F42",2.708949165
71,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,1.02619,0.0127985,80.18,11.1358,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F43",2.497283072
72,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,1.13826,0.0120172,94.72,10.8629,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F44",2.472471242
73,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,1.21943,0.00858369,142.06,10.9655,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F45",2.481871909
74,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.20706,0.0120172,100.44,1.06775,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F46",0.152671559
75,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.36314,0.0103004,132.34,1.28074,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F47",0.334555964
76,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.18886,0.0103004,115.42,1.15105,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F48",0.227792497
77,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.25246,0.0103004,121.59,1.25183,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F49",0.311724409
78,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.07754,0.0154506,69.74,1.81313,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F50",0.682172562
79,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,2.28945,0.0206009,111.13,1.51032,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F51",0.499439477
80,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.28141,0.0257511,49.76,0.916569,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F52",0
81,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.30151,0.0223176,58.32,1.18766,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F53",0.259102913
82,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.30622,0.0223176,58.53,1.17535,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F54",0.248683904
83,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.25836,0.0137339,91.62,1.09976,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F55",0.182209902
84,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.11849,0.0118644,94.27,1.09615,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F56",0.178921969
85,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.18492,0.0186441,63.55,1.03846,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F57",0.124856775
86,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.07336,0.0118644,90.47,1.03846,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F58",0.124856775
87,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.08896,0.00677966,160.62,1.15385,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F59",0.230222105
88,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.03654,0.00677966,152.89,1.15385,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F60",0.230222105
89,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.06901,0.00677966,157.68,1.32692,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F61",0.369978395
90,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,0.99991,0.0101695,98.32,1.38462,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F62",0.412543662
91,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,0.989911,0.0135593,73.01,16.5577,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F63",2.893969179
92,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,0.946081,0.0152542,62.02,13.7308,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F64",2.706759413
93,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,1.07179,0.0152542,70.26,13.7308,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F65",2.706759413
94,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,1.10418,0.0186441,59.22,13.7308,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F66",2.706759413
95,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,1.08587,0.0135593,80.08,10.9615,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F67",2.481507062
96,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,1.12969,0.0136752,82.61,10.9195,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F68",2.47766811
97,Libin3,3,Lake,Danjiangkou Reservoir,Eutro,1.20186,0.0136752,87.89,10.9195,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F69",2.47766811
98,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.19747,0.0153846,77.84,1.2069,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F70",0.275173017
99,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.34017,0.0119658,112,1.43678,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F71",0.449522427
100,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.18201,0.00854701,138.3,1.43678,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F72",0.449522427
101,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.26355,0.0102564,123.2,1.32184,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F73",0.366142633
102,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.01241,0.0188034,53.84,1.83908,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F74",0.696383375
103,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,2.56358,0.025641,99.98,1.6092,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F75",0.562855089
104,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.38053,0.0324786,42.51,1.14943,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F76",0.226384095
105,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.30108,0.0358974,36.24,1.37931,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F77",0.408701302
106,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.2961,0.034188,37.91,1.43678,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F78",0.449522427
107,Libin3,3,Lake,Danjiangkou Reservoir,Oligo-meso,1.30175,0.0222222,58.58,1.32184,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,"F6,F7,F79",0.366142633
108,Cai4,4,Lake,West Yangchen Lake,Eutro,2.76,0.2,13.8,29.9,0.75,1.4,0.025,0.05,16,7,NA,35,NA,T2,0.716836952
109,Cai4,4,Lake,West Yangchen Lake,Hyper,2.28,0.13,17.54,41.1,0.75,1.4,0.025,0.05,16,7,NA,45,NA,T2,1.034986593
110,Cai4,4,Lake,West Yangchen Lake,Eutro,4.02,0.21,19.14,28.1,0.75,1.4,0.025,0.05,16,7,NA,63,NA,T2,0.654748048
111,Cai4,4,Lake,West Yangchen Lake,Hyper,3.82,0.29,13.17,56.5,0.75,1.4,0.025,0.05,16,7,NA,34,NA,T2,1.353219109
112,Cai4,4,Lake,West Yangchen Lake,Hyper,3.79,0.38,9.97,32.3,0.75,1.4,0.025,0.05,16,7,NA,44,NA,T2,0.794045702
113,Cai4,4,Lake,West Yangchen Lake,Eutro,4.52,0.78,5.79,17.4,0.75,1.4,0.025,0.05,16,7,NA,54,NA,T2,0.175448678
114,Cai4,4,Lake,West Yangchen Lake,Eutro,2.39,0.16,14.94,22,0.75,1.4,0.025,0.05,16,7,NA,48,NA,T2,0.410020925
115,Cai4,4,Lake,West Yangchen Lake,Eutro,2.12,0.1,21.2,16.4,0.75,1.4,0.025,0.05,16,7,NA,48,NA,T2,0.116259806
116,Cai4,4,Lake,West Yangchen Lake,Eutro,2.3,0.21,10.95,14.6,0.75,1.4,0.025,0.05,16,7,NA,65,NA,T2,0
117,Cai4,4,Lake,West Yangchen Lake,Hyper,2.33,0.18,12.94,40.5,0.75,1.4,0.025,0.05,16,7,NA,47,NA,T2,1.020280445
118,Cai4,4,Lake,West Yangchen Lake,Eutro,1.69,0.1,16.9,26.3,0.75,1.4,0.025,0.05,16,7,NA,48,NA,T2,0.58854741
119,Cai4,4,Lake,West Yangchen Lake,Eutro,2.85,0.21,13.57,22.7,0.75,1.4,0.025,0.05,16,7,NA,51,NA,T2,0.441343396
120,Cai4,4,Lake,West Yangchen Lake,Hyper,2.99,0.19,15.74,65.8,0.75,1.4,0.025,0.05,16,7,NA,44,NA,T2,1.50559831
121,Cai4,4,Lake,West Yangchen Lake,Hyper,2.62,0.14,18.71,39.5,0.75,1.4,0.025,0.05,16,7,NA,53,NA,T2,0.995279143
122,Cai4,4,Lake,West Yangchen Lake,Hyper,2.83,0.23,12.3,44.2,0.75,1.4,0.025,0.05,16,7,NA,67,NA,T2,1.10770326
123,Liu5,5,Lake,Xingyun Lake,Eutro,0.333333,0.033322,10,7.27273,0.75,1.4,0.025,0.05,16,7,15.99,136,NA,F2,0
124,Liu5,5,Lake,Xingyun Lake,Eutro,0.625,0.0354959,17.61,11.5152,0.75,1.4,0.025,0.05,16,7,15.72,148,NA,F2,0.459536165
125,Liu5,5,Lake,Xingyun Lake,Eutro,0.625,0.0525815,11.89,16.9697,0.75,1.4,0.025,0.05,16,7,15.76,90,NA,F2,0.847297664
126,Liu5,5,Lake,Xingyun Lake,Hyper,0.916667,0.0326087,28.11,49.697,0.75,1.4,0.025,0.05,16,7,15.84,79,NA,F2,1.921812832
127,Liu5,5,Lake,Xingyun Lake,Hyper,1.0625,0.0599864,17.71,64.8485,0.75,1.4,0.025,0.05,16,7,15.38,87,NA,F2,2.187922043
128,Liu5,5,Lake,Xingyun Lake,Hyper,0.854167,0.0867527,9.85,47.8788,0.75,1.4,0.025,0.05,16,7,15.91,65,NA,F2,1.884541081
129,Liu5,5,Lake,Xingyun Lake,Hyper,1.52083,0.240149,6.33,48.4848,0.75,1.4,0.025,0.05,16,7,15.76,80,NA,F2,1.89711861
130,Liu5,5,Lake,Xingyun Lake,Hyper,1.64583,0.114029,14.43,45.4545,0.75,1.4,0.025,0.05,16,7,15.95,89,NA,F2,1.832580089
131,Liu5,5,Lake,Xingyun Lake,Hyper,2,0.172385,11.6,35.1515,0.75,1.4,0.025,0.05,16,7,15.34,96,NA,F2,1.575535555
132,Liu5,5,Lake,Xingyun Lake,Eutro,2.20833,0.125645,17.58,25.4545,0.75,1.4,0.025,0.05,16,7,16.71,104,NA,F2,1.252760808
133,Liu5,5,Lake,Xingyun Lake,Hyper,2.02083,0.537364,3.76,55.1515,0.75,1.4,0.025,0.05,16,7,16.37,73,NA,F2,2.025952207
134,Liu5,5,Lake,Xingyun Lake,Hyper,2.25,0.526461,4.27,63.6364,0.75,1.4,0.025,0.05,16,7,16.86,63,NA,F2,2.169053897
135,He6,6,Lake,Yangcheng Lake,Eutro,2.86,0.355,8.06,29.22,0.75,1.4,0.025,0.05,16,7,NA,84.85,NA,F2,2.555073575
136,He6,6,Lake,Yangcheng Lake,Hyper,2.84,0.254,11.18,30.69,0.75,1.4,0.025,0.05,16,7,NA,61.94,NA,F2,2.604157037
137,He6,6,Lake,Yangcheng Lake,Oligo-meso,2.09,0.214,9.77,3.96,0.75,1.4,0.025,0.05,16,7,NA,49.71,NA,F2,0.556464194
138,He6,6,Lake,Yangcheng Lake,Eutro,2.48,0.309,8.03,8.02,0.75,1.4,0.025,0.05,16,7,NA,66.8,NA,F2,1.26215859
139,He6,6,Lake,Yangcheng Lake,Eutro,2.08,0.067,31.04,15.46,0.75,1.4,0.025,0.05,16,7,NA,84.85,NA,F2,1.918476212
140,He6,6,Lake,Yangcheng Lake,Hyper,3.32,0.118,28.14,43.81,0.75,1.4,0.025,0.05,16,7,NA,50.21,NA,F2,2.96008227
141,He6,6,Lake,Yangcheng Lake,Hyper,3.11,0.425,7.32,34.13,0.75,1.4,0.025,0.05,16,7,NA,78.19,NA,F2,2.710396931
142,He6,6,Lake,Yangcheng Lake,Eutro,2.95,0.317,9.31,18.6,0.75,1.4,0.025,0.05,16,7,NA,40.65,NA,F2,2.103381749
143,He6,6,Lake,Yangcheng Lake,Oligo-meso,2.86,0.234,12.22,2.27,0.75,1.4,0.025,0.05,16,7,NA,40.15,NA,F2,0
144,He6,6,Lake,Yangcheng Lake,Eutro,3.71,0.541,6.86,29.99,0.75,1.4,0.025,0.05,16,7,NA,42.59,NA,F2,2.581084161
145,He6,6,Lake,Yangcheng Lake,Eutro,3.22,0.232,13.88,20.88,0.75,1.4,0.025,0.05,16,7,NA,37.21,NA,F2,2.219011932
146,He6,6,Lake,Yangcheng Lake,Hyper,3.82,0.148,25.81,71.61,0.75,1.4,0.025,0.05,16,7,NA,35.76,NA,F2,3.451454898
147,Wen7,7,Lake,Taihu Lake,Eutro,1.19,0.14,8.5,22.52,0.75,1.4,0.025,0.05,16,7,NA,47,NA,T1,1.145893822
148,Wen7,7,Lake,Taihu Lake,Hyper,4.17,0.58,7.19,147.86,0.75,1.4,0.025,0.05,16,7,NA,26,NA,T1,3.027755899
149,Wen7,7,Lake,Taihu Lake,Hyper,2.72,0.36,7.56,111.58,0.75,1.4,0.025,0.05,16,7,NA,27,NA,T1,2.746231841
150,Wen7,7,Lake,Taihu Lake,Hyper,2.1,0.18,11.67,72.9,0.75,1.4,0.025,0.05,16,7,NA,33,NA,T1,2.320578658
151,Wen7,7,Lake,Taihu Lake,Eutro,1.01,0.05,20.2,7.16,0.75,1.4,0.025,0.05,16,7,NA,103,NA,T1,0
